date,window_id,window_start,window_end,n_days,n_assets,prec_num_edges,prec_avg_degree,prec_density,prec_total_weight,prec_avg_weight
2011-05-06,86,2010-05-10,2011-05-06,252,150,1500,20.0,0.1342281879194631,139.46043536997712,0.04648681178999237
2011-05-09,87,2010-05-11,2011-05-09,252,150,1500,20.0,0.1342281879194631,139.51219318660975,0.04650406439553658
2011-05-10,88,2010-05-12,2011-05-10,252,150,1500,20.0,0.1342281879194631,139.43043793493337,0.046476812644977786
2011-05-11,89,2010-05-13,2011-05-11,252,150,1500,20.0,0.1342281879194631,139.29763685664867,0.04643254561888289
2011-05-12,90,2010-05-14,2011-05-12,252,150,1500,20.0,0.1342281879194631,139.59656441021377,0.04653218813673792
2011-05-13,91,2010-05-17,2011-05-13,252,150,1500,20.0,0.1342281879194631,139.72457303487377,0.046574857678291254
2011-05-16,92,2010-05-18,2011-05-16,252,150,1500,20.0,0.1342281879194631,139.8035621987601,0.0466011873995867
2011-05-17,93,2010-05-19,2011-05-17,252,150,1500,20.0,0.1342281879194631,139.7995381891876,0.04659984606306253
2011-05-18,94,2010-05-20,2011-05-18,252,150,1500,20.0,0.1342281879194631,139.93113091920276,0.046643710306400916
2011-05-19,95,2010-05-21,2011-05-19,252,150,1500,20.0,0.1342281879194631,140.02797202195325,0.04667599067398442
2011-05-20,96,2010-05-24,2011-05-20,252,150,1500,20.0,0.1342281879194631,140.06924010146952,0.04668974670048984
2011-05-23,97,2010-05-25,2011-05-23,252,150,1500,20.0,0.1342281879194631,140.05803555276208,0.046686011850920694
2011-05-24,98,2010-05-26,2011-05-24,252,150,1500,20.0,0.1342281879194631,140.1518056920267,0.0467172685640089
2011-05-25,99,2010-05-27,2011-05-25,252,150,1500,20.0,0.1342281879194631,140.09431510223612,0.04669810503407871
2011-05-26,100,2010-05-28,2011-05-26,252,150,1500,20.0,0.1342281879194631,140.32577149731202,0.046775257165770676
2011-05-27,101,2010-06-01,2011-05-27,252,150,1500,20.0,0.1342281879194631,131.26562034173756,0.04375520678057919
2011-05-31,102,2010-06-02,2011-05-31,252,150,1500,20.0,0.1342281879194631,140.52916148582324,0.04684305382860775
2011-06-01,103,2010-06-03,2011-06-01,252,150,1500,20.0,0.1342281879194631,131.1286290393399,0.0437095430131133
2011-06-02,104,2010-06-04,2011-06-02,252,150,1500,20.0,0.1342281879194631,131.06872904696468,0.04368957634898823
2011-06-03,105,2010-06-07,2011-06-03,252,150,1500,20.0,0.1342281879194631,140.79691420713516,0.04693230473571172
