date,window_id,window_start,window_end,n_days,n_assets,corr_num_edges,corr_avg_degree,corr_density,corr_total_weight,corr_avg_weight
2011-09-06,170,2010-09-08,2011-09-06,252,151,1555,20.596026490066226,0.13730684326710818,1943.3788295389877,0.6248806525848835
2011-09-07,171,2010-09-09,2011-09-07,252,151,1555,20.596026490066226,0.13730684326710818,1962.5130727407188,0.6310331423603598
2011-09-08,172,2010-09-10,2011-09-08,252,151,1555,20.596026490066226,0.13730684326710818,1965.5416733197167,0.6320069689130922
2011-09-09,173,2010-09-13,2011-09-09,252,151,1555,20.596026490066226,0.13730684326710818,1979.3261487118325,0.6364392761131294
2011-09-12,174,2010-09-14,2011-09-12,252,151,1554,20.582781456953644,0.1372185430463576,1972.798767585281,0.6347486382192024
2011-09-13,175,2010-09-15,2011-09-13,252,151,1554,20.582781456953644,0.1372185430463576,1975.8335731033646,0.6357250878710955
2011-09-14,176,2010-09-16,2011-09-14,252,151,1554,20.582781456953644,0.1372185430463576,1978.5372921661071,0.6365950103494553
2011-09-15,177,2010-09-17,2011-09-15,252,151,1554,20.582781456953644,0.1372185430463576,1982.032925635112,0.6377197315428288
2011-09-16,178,2010-09-20,2011-09-16,252,151,1554,20.582781456953644,0.1372185430463576,1983.4379743319441,0.6381718064131094
2011-09-19,179,2010-09-21,2011-09-19,252,151,1555,20.596026490066226,0.13730684326710818,1984.8520838181057,0.6382161041215774
2011-09-20,180,2010-09-22,2011-09-20,252,151,1555,20.596026490066226,0.13730684326710818,1984.5621616617082,0.6381228815632503
2011-09-21,181,2010-09-23,2011-09-21,252,151,1556,20.60927152317881,0.13739514348785872,2002.0509011049062,0.6433325517689287
2011-09-22,182,2010-09-24,2011-09-22,252,151,1558,20.635761589403973,0.13757174392935984,2014.3700934870553,0.6464602353937918
2011-09-23,183,2010-09-27,2011-09-23,252,151,1558,20.635761589403973,0.13757174392935984,2003.4831308452292,0.6429663449439118
2011-09-26,184,2010-09-28,2011-09-26,252,151,1557,20.62251655629139,0.13748344370860927,2007.0840518483146,0.6445356621221305
2011-09-27,185,2010-09-29,2011-09-27,252,151,1557,20.62251655629139,0.13748344370860927,2007.3129070883047,0.6446091544920696
2011-09-28,186,2010-09-30,2011-09-28,252,151,1558,20.635761589403973,0.13757174392935984,2022.4626824871862,0.6490573435453101
2011-09-29,187,2010-10-01,2011-09-29,252,151,1558,20.635761589403973,0.13757174392935984,2021.8766712798338,0.6488692783311405
2011-09-30,188,2010-10-04,2011-09-30,252,151,1557,20.62251655629139,0.13748344370860927,2033.2418535023396,0.6529357268793641
2011-10-03,189,2010-10-05,2011-10-03,252,151,1559,20.649006622516556,0.13766004415011038,2051.80675515376,0.658052198574009
2011-10-04,190,2010-10-06,2011-10-04,252,151,1556,20.60927152317881,0.13739514348785872,2050.5668272193006,0.6589225023198267
2011-10-05,191,2010-10-07,2011-10-05,252,151,1557,20.62251655629139,0.13748344370860927,2055.4966254595397,0.6600824102310661
2011-10-06,192,2010-10-08,2011-10-06,252,151,1556,20.60927152317881,0.13739514348785872,2058.905640128283,0.6616020694499624
2011-10-07,193,2010-10-11,2011-10-07,252,151,1557,20.62251655629139,0.13748344370860927,2060.9366281816283,0.6618293603666116
2011-10-10,194,2010-10-12,2011-10-10,252,151,1559,20.649006622516556,0.13766004415011038,2081.590485968846,0.6676043893421573
2011-10-11,195,2010-10-13,2011-10-11,252,151,1557,20.62251655629139,0.13748344370860927,2077.4017640549255,0.6671168156888008
2011-10-12,196,2010-10-14,2011-10-12,252,151,1557,20.62251655629139,0.13748344370860927,2078.4405127886976,0.667450389463294
2011-10-13,197,2010-10-15,2011-10-13,252,151,1557,20.62251655629139,0.13748344370860927,2076.908884950102,0.6669585372351002
2011-10-14,198,2010-10-18,2011-10-14,252,151,1558,20.635761589403973,0.13757174392935984,2080.673824348577,0.6677387112800311
