date,window_start,window_end,n_days,n_assets,corr_diff_gamma,corr_diff_tmix_proxy,corr_diff_pi_min,corr_diff_lambda2,corr_ct_mean,corr_ct_median,corr_ct_q10,corr_ct_q90,corr_mfpt_mean,corr_mfpt_median,corr_mfpt_q10,corr_mfpt_q90,prec_diff_gamma,prec_diff_tmix_proxy,prec_diff_pi_min,prec_diff_lambda2,prec_ct_mean,prec_ct_median,prec_ct_q10,prec_ct_q90,prec_mfpt_mean,prec_mfpt_median,prec_mfpt_q10,prec_mfpt_q90
2018-09-11,2017-09-12,2018-09-11,252,167,0.0015258828683589742,8716.46678618963,0.00016739786469775883,0.998474117131641,4515.952941205568,4199.336268401281,200.8455573053497,10983.765780465475,2257.976470602784,837.0094993357867,78.30968500166996,5940.197917388275,0.03087952912427172,384.3730971471745,0.0007002381531792944,0.9691204708757283,509.0642440239386,464.74936502600616,315.2927202081806,714.0760421313558,254.5321220119693,220.58704779284503,136.32321922272143,372.0513867374731
2018-09-12,2017-09-13,2018-09-12,252,167,0.001556187009243315,8542.79878380633,0.0001684246138299836,0.9984438129907567,4500.372324265867,4192.2591458704155,200.3027701291362,10932.754465367161,2250.1861621329335,838.4452228272501,78.67381228489849,5919.731497552657,0.08257949060975267,126.9852519676654,0.0027914133441435084,0.9174205093902473,417.8310397436126,410.2495928018445,325.30682756107404,520.963782969717,208.91551987180634,200.53107161531426,148.55551118505988,276.1999146019268
2018-09-13,2017-09-14,2018-09-13,252,167,0.0015639650637300218,8504.517923802136,0.00016732061585352314,0.99843603493627,4525.722322756241,4199.879640724746,199.53134313998103,10938.588830700539,2262.8611613781204,834.0457768897002,78.0363396677207,5982.667754706326,0.031463255243420196,376.9613269052234,0.000706448495562031,0.9685367447565798,507.44261167078014,464.0714629486256,315.8905887097909,709.4802370269662,253.72130583539007,221.18420902050622,136.27344877336634,368.2674136177915
2018-09-14,2017-09-15,2018-09-14,252,167,0.00153920920136974,8629.122543193327,0.00017048646778129663,0.9984607907986303,4580.41252763661,4237.940098143458,200.70611149361844,10981.69983055453,2290.2062638183056,831.4121627509589,77.81352098924773,6571.335242705818,0.08375667902046435,125.55194916568936,0.0027104404742455167,0.9162433209795356,417.1841844238618,410.0248860233366,325.3794616491169,518.2865065220813,208.59209221193083,200.34921166574918,149.17681913823586,273.94326190795704
2018-09-17,2017-09-18,2018-09-17,252,167,0.0015721990291778232,8450.603385382992,0.00016980492963879134,0.9984278009708222,4438.475934890654,4165.9782158692915,198.05180624776582,10787.91017170483,2219.237967445327,833.6024205315089,78.1004575018496,5888.544408858201,-6.661338147750939e-16,,0.00017470348197041124,1.0000000000000007,790.3675238201236,366.9221201482566,67.3270744326762,1936.0664550098252,395.1837619100618,126.43167704006416,0.0,1049.488915721392
2018-09-18,2017-09-19,2018-09-18,252,167,0.0015637335669465013,8495.911229371213,0.00016992194300099274,0.9984362664330535,4398.210429704074,4143.53941574556,199.1727276136093,10735.719619611047,2199.105214852037,831.5894670964813,78.93997267767786,5850.236404565892,0.083019737011648,125.99329607004427,0.002866223071175982,0.916980262988352,416.4499522260713,409.51520110512627,325.8456209662629,517.6153902785795,208.22497611303564,200.45920724055836,149.29540366146765,272.6329901175185
2018-09-19,2017-09-20,2018-09-19,252,167,0.0014985104888324274,8870.038365694623,0.00016882036432363623,0.9985014895111676,4584.56934585149,4208.199587258846,198.50710244752375,10959.624554714264,2292.284672925745,830.3973185241913,79.60847137210509,5998.45298425647,0.03153423032100833,373.27994122144906,0.0007724637663439596,0.9684657696789917,501.94226842700255,462.03068990630527,316.3751954476727,699.3253287978151,250.97113421350127,220.11291414862342,137.24033294706504,367.22354746643776
2018-09-20,2017-09-21,2018-09-20,252,167,0.0015104105238010757,8795.986776077083,0.00016988636122564505,0.9984895894761989,4438.43599225436,4139.598071815467,198.3877195513441,10780.707071849205,2219.2179961271795,837.1153407897918,79.58458833080552,5795.739696655119,0.08363950146904975,125.02773895462519,0.002873893437924157,0.9163604985309503,415.7447526296041,409.010432817658,326.2078997228668,514.8808101495326,207.87237631480204,201.66830407716327,148.87634103221248,272.1809488043197
2018-09-21,2017-09-22,2018-09-21,252,167,0.0015128488931522854,8782.304310192296,0.0001697592724247529,0.9984871511068477,4485.067282729918,4158.862364226809,199.33605971271987,10827.103107387775,2242.533641364959,835.1476922450465,79.40657511950586,5789.471176611934,0.08321906853235372,125.71569939869684,0.00286045888458652,0.9167809314676463,415.6308596722114,409.1179386425228,326.3386839974071,514.3564652144901,207.8154298361057,202.16193478157203,148.50973715642203,272.3622005845484
2018-09-24,2017-09-25,2018-09-24,252,167,0.0015009626948758736,8845.225818528403,0.000171456015202348,0.9984990373051241,4530.678985044129,4159.516689683944,199.30613696213078,10920.443115733384,2265.3394925220646,840.6214666968835,79.28615677139256,6441.927765424678,0.08346587412545081,125.3533819723721,0.0028582108840437682,0.9165341258745492,415.35334973919606,408.0448120912206,326.1315194303157,514.4896857490043,207.67667486959797,200.0047294706083,149.52703760914747,272.59609232783134
