label_name,label_readable,model_name,model_readable,probe,probe_readable,corr_probe_vs_p_hat
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_tmix_proxy,Correlation graph: Diff Tmix Proxy,-0.3233126851592852
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_q90,Correlation graph: Mean First Passage Time Q90,-0.3336709509711599
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_q90,Correlation graph: Ct Q90,-0.42017508059788505
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_lambda2,Correlation graph: Diff Lambda2,-0.4589717155354664
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_mean,Correlation graph: Ct Mean,-0.4855739232421577
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_mean,Correlation graph: Mean First Passage Time Mean,-0.4855739232421577
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_median,Correlation graph: Ct Median,-0.5039468996911511
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_ct_median,Correlation graph: Ct Median,0.5717430840472899
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_diff_tmix_proxy,Correlation graph: Diff Tmix Proxy,0.5235508037148897
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_mfpt_median,Correlation graph: Mean First Passage Time Median,0.5122799181666655
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_diff_lambda2,Correlation graph: Diff Lambda2,0.5064765001203123
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_ct_mean,Correlation graph: Ct Mean,0.4851442814536556
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_mfpt_mean,Correlation graph: Mean First Passage Time Mean,0.4851442814536555
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_mfpt_q90,Correlation graph: Mean First Passage Time Q90,0.4397619020517633
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_ct_q90,Correlation graph: Ct Q90,0.42283708020823707
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_diff_pi_min,Correlation graph: Diff Pi Min,0.33497839520934725
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_diff_lambda2,Precision graph: Diff Lambda2,0.2806256731018317
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_diff_tmix_proxy,Precision graph: Diff Tmix Proxy,0.25439948833347303
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_mfpt_median,Precision graph: Mean First Passage Time Median,0.2153487923659853
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_ct_median,Precision graph: Ct Median,0.1709328779861359
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_mfpt_q90,Precision graph: Mean First Passage Time Q90,0.12172787454172501
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_ct_q90,Precision graph: Ct Q90,0.11947430550542185
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_ct_mean,Precision graph: Ct Mean,0.0596185398169671
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_mfpt_mean,Precision graph: Mean First Passage Time Mean,0.0596185398169671
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_ct_q10,Precision graph: Ct Q10,-0.021187574806942756
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_diff_pi_min,Precision graph: Diff Pi Min,-0.05713931609225741
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_mfpt_q10,Precision graph: Mean First Passage Time Q10,-0.06572250789388134
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),prec_diff_gamma,Precision graph: Diff Gamma,-0.2806256731018315
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_mfpt_q10,Correlation graph: Mean First Passage Time Q10,-0.4734931285987978
